Location,Population,HighestInfectionCount,PercentPopulationInfected
Panama,4381583,469082,10.70576547
Costa Rica,5139053,544021,10.58601653
Belize,404915,22187,5.479421607
Honduras,10062994,369030,3.667198848
Guatemala,18249868,579489,3.175305158
El Salvador,6518500,107664,1.651668329
Nicaragua,6702379,15134,0.225800421
